,MuonEnergy,RecoE
0,920.253,979.100
1,971.206,906.544
2,578.752,561.971
3,1227.620,1318.147
4,889.109,983.576
5,1387.560,1365.564
6,1477.980,1197.240
7,1136.070,1126.097
8,1034.670,984.958
9,857.982,895.083
10,668.056,688.963
11,958.978,990.843
12,688.851,946.560
13,1488.070,1500.038
14,821.612,885.059
15,862.146,871.094
16,587.691,783.382
17,762.234,783.932
18,757.964,731.075
19,1143.170,1362.615
20,450.017,508.364
21,705.867,696.899
22,851.034,539.889
23,671.296,669.464
24,924.932,845.650
25,824.461,874.432
26,1285.890,1221.521
27,1367.330,1557.333
28,629.661,520.321
29,693.852,729.921
30,1016.810,1049.551
31,1256.670,1127.222
32,1513.650,1487.582
33,546.226,525.675
34,1002.030,1142.816
35,518.051,584.373
36,878.315,858.877
37,945.322,901.965
38,910.750,925.786
39,758.328,768.112
40,851.121,864.995
41,500.615,624.058
42,594.617,579.862
43,1091.180,1067.940
44,711.345,717.285
45,406.841,494.472
46,888.890,944.563
47,937.508,872.366
48,1408.470,1402.401
49,643.347,638.242
50,1052.400,1053.595
51,557.547,652.807
52,762.220,540.875
53,1409.260,1466.858
54,1152.070,1048.437
55,1681.080,1439.218
56,681.908,754.040
57,1367.420,1505.314
58,1197.960,1228.169
59,844.884,619.833
60,965.061,1012.497
61,1454.020,1281.366
62,407.878,511.369
63,1275.100,1380.647
64,740.758,675.053
65,618.801,661.804
66,712.934,729.690
67,960.142,926.567
68,966.449,945.665
69,1313.160,1348.085
70,1165.360,1298.505
71,1150.960,1148.621
72,747.322,775.592
73,594.030,580.510
74,380.431,436.033
75,853.697,876.041
76,873.111,872.453
77,795.497,792.102
78,1347.920,1549.986
79,585.251,553.521
80,835.161,875.300
81,1334.020,1505.181
82,1211.760,1343.471
83,783.215,799.477
84,959.059,1032.278
85,1193.120,856.067
86,901.571,890.776
87,1137.150,1317.821
88,959.481,973.403
89,1160.880,1143.409
90,600.912,592.757
91,660.617,662.057
92,725.525,808.253
93,1105.930,1160.234
94,1096.910,1325.986
95,638.150,708.833
96,868.768,941.387
97,692.130,725.643
98,610.083,727.100
99,489.058,514.294
100,729.434,696.172
101,1496.640,1563.722
102,532.213,709.969
103,564.964,556.259
104,497.685,467.125
105,889.679,917.807
106,779.938,797.871
107,1096.310,1150.829
108,1313.710,1522.126
109,737.863,684.008
110,993.317,1007.827
111,972.596,1105.213
112,485.086,649.417
113,652.003,653.144
114,890.117,858.947
115,679.268,661.524
116,751.760,791.338
117,986.013,1211.686
118,844.804,953.526
119,828.468,822.558
120,890.423,930.808
121,686.024,733.251
122,1642.590,1497.169
123,762.513,755.732
124,485.556,524.102
125,703.918,769.161
126,686.089,728.182
127,1059.850,1033.973
128,845.253,911.070
129,416.298,532.176
130,714.459,795.297
131,600.327,898.638
132,1025.900,1057.144
133,579.730,734.927
134,1108.720,1325.535
135,1389.760,1371.315
136,597.042,611.118
137,564.730,554.025
138,579.469,562.227
139,644.469,659.269
140,986.134,960.473
141,476.737,550.704
142,773.278,787.516
143,687.066,853.809
144,974.419,983.166
145,900.822,685.795
146,921.412,1107.368
147,1639.570,1443.636
148,861.794,890.169
149,714.097,804.408
150,573.945,633.117
151,1428.770,1444.514
152,401.824,473.679
153,673.967,718.831
154,905.168,952.593
155,604.989,730.449
156,1456.850,1359.807
157,422.933,756.181
158,1290.600,1247.386
159,843.351,924.580
160,814.678,833.285
161,818.568,885.734
162,1305.720,1435.015
163,874.237,617.289
164,975.679,911.920
165,929.406,911.095
166,541.448,786.686
167,931.107,1030.167
168,912.216,980.240
169,1319.750,1255.865
170,1489.350,1170.297
171,672.176,790.258
172,1248.760,1196.832
173,653.363,779.612
174,988.670,812.260
175,774.080,715.548
176,728.513,815.328
177,991.048,1004.325
178,652.833,677.416
179,777.422,689.176
180,760.598,776.115
181,623.095,576.181
182,1374.920,1280.074
183,535.218,547.515
184,904.256,840.481
185,1084.000,1165.194
186,521.475,595.627
187,810.634,830.203
188,1827.980,1452.700
189,997.863,1089.030
190,1121.100,1153.402
191,1292.450,1153.656
192,1046.280,1067.795
193,562.071,571.217
194,534.400,575.169
195,770.437,760.239
196,778.594,858.702
197,1016.690,1043.007
198,393.437,470.959
199,703.403,783.626
200,849.497,906.896
201,730.280,679.080
202,891.188,795.754
203,912.076,1017.868
204,480.681,495.171
205,788.998,795.488
206,642.826,673.632
207,870.136,922.170
208,991.325,793.125
209,685.141,673.032
210,1276.780,1326.913
211,781.714,857.144
212,719.595,686.315
213,956.445,925.495
214,1367.250,1459.251
215,1397.830,1574.060
216,481.651,764.280
217,818.937,999.805
218,564.987,610.219
219,1048.300,1045.329
220,768.631,509.020
221,700.860,655.273
222,854.634,943.403
223,648.285,695.943
224,848.302,934.425
